,name,ticker,image,contract_address
0,Notcoin,not,https://coin-images.coingecko.com/coins/images/33453/large/rFmThDiD_400x400.jpg?1701876350,EQAvlWFDxGF2lXm67y4yzC17wYKD9A0guwPkMs1gOsM__NOT
1,Dogs,dogs,https://coin-images.coingecko.com/coins/images/39699/large/dogs_logo_200x200.png?1723687163,EQCvxJy4eG8hyHBFsZ7eePxrRsUQSFE_jpptRAYBmcG_DOGS
2,MoonRabbits,mrb,https://coin-images.coingecko.com/coins/images/52273/large/MoonRabbits_icon_resized.png?1732884884,EQBtFLv5YbHRVr0PSb6KgmQztRK4N2BQ7alxp6mYOBxa-r18
3,Resistance Dog,redo,https://coin-images.coingecko.com/coins/images/34602/large/hoodie000-removebg-preview.png?1705492066,EQBZ_cafPyDr5KUTs0aNxh0ZTDhkpEZONmLJA2SNGlLm4Cko
5,Clayton,clay,https://coin-images.coingecko.com/coins/images/52849/large/Clayton.png?1734484132,EQB-vc00g9PeUWLptSAH4g1J5kYS7WTgtVEfhI6oKdQtRudE
6,FPI Bank,fpibank,https://coin-images.coingecko.com/coins/images/54159/large/fpi-bank.jpg?1739195373,EQD0KpcRMh-sKO2z5-vOjgvFjTT58tO-2Nmvxqg5ocFQFtWz
7,COFFEE,cofe,https://coin-images.coingecko.com/coins/images/50991/large/Flyerwiz_1724601882940.png?1729672268,EQA9dayEKflrL-wIf-GKGizj26pvX0QCIxwmRgqzg5U_c3YB
8,TON FISH MEMECOIN,fish,https://coin-images.coingecko.com/coins/images/34651/large/photo_2024-10-18_16.55.49.jpeg?1729307732,EQATcUc69sGSCCMSadsVUKdGwM1BMKS-HKCWGPk60xZGgwsK
9,NikolAI,niko,https://coin-images.coingecko.com/coins/images/51282/large/NikolAI_%28200_x_200_px%29.png?1730529158,EQDo8QC6mVi7Gq6uGWDF4XVp3cZ4wKZ-bqKBkmhVMPm-1ojm
10,Splash Token,splash,https://coin-images.coingecko.com/coins/images/54721/large/image.png?1741211238,EQARQ-CIii50GHdHZI7s7eqRFOGoIz75u4eM2eftTikS8Zvl
11,Povel Durev,durev,https://coin-images.coingecko.com/coins/images/37544/large/durev-logo.png?1714729933,EQB02DJ0cdUD4iQDRbBv4aYG3htePHBRK1tGeRtCnatescK0
12,PUMPCORN,pumpcorn,https://coin-images.coingecko.com/coins/images/52510/large/Avatar.png?1733490539,EQBsTwY-0y5e1i6eVLklvkLwS2QJMllwWP7c4uq0ni6qxAvE
13,WATCoin,wat,https://coin-images.coingecko.com/coins/images/50286/large/WATCoin_200x200.png?1726839115,EQCEqz2x3-Ub_EO4Y5798NNoqKw1tP_tJ6b9y-X0C4uvs8Zf
14,The Resistance Cat,$reca,https://coin-images.coingecko.com/coins/images/36954/large/1000024568.jpg?1712902704,EQBwHOvf3UrPPJB7jeDHaOT-2vP0QQlDoEDBsgfv5XF75J3j
15,Ton Cat,tcat,https://coin-images.coingecko.com/coins/images/39032/large/TCAT.jpg?1726327253,EQBtDmYgCKk3ecQ1x-j0CLZRnPYyaV7cB33ad036QN-HE2C7
16,RoOLZ,godl,https://coin-images.coingecko.com/coins/images/51322/large/Untitled_design_%282%29.png?1730710707,EQAZwJdXCZoO9JIbwBTL2a_zzOAPheLICa4YG7lNIlDZzMmx
