month_,project,cum_sum,token_cnt
2024-11-01 00:00:00.000 UTC,tonco,24,24
2024-12-01 00:00:00.000 UTC,tonco,42,18
2025-01-01 00:00:00.000 UTC,tonco,51,9
2025-02-01 00:00:00.000 UTC,tonco,58,7
2025-03-01 00:00:00.000 UTC,tonco,62,4
2025-04-01 00:00:00.000 UTC,tonco,69,7
2024-07-01 00:00:00.000 UTC,gaspump,15521,15521
2024-08-01 00:00:00.000 UTC,gaspump,17521,2000
2024-09-01 00:00:00.000 UTC,gaspump,20745,3224
2024-10-01 00:00:00.000 UTC,gaspump,23919,3174
2024-11-01 00:00:00.000 UTC,gaspump,25458,1539
2024-12-01 00:00:00.000 UTC,gaspump,25587,129
2024-08-01 00:00:00.000 UTC,ton.fun,6,6
2024-09-01 00:00:00.000 UTC,ton.fun,51,45
2024-10-01 00:00:00.000 UTC,ton.fun,4740,4689
2024-11-01 00:00:00.000 UTC,ton.fun,79322,74582
2024-12-01 00:00:00.000 UTC,ton.fun,185482,106160
2025-01-01 00:00:00.000 UTC,ton.fun,248988,63506
2025-02-01 00:00:00.000 UTC,ton.fun,294875,45887
2025-03-01 00:00:00.000 UTC,ton.fun,314650,19775
2025-04-01 00:00:00.000 UTC,ton.fun,351482,36832
2023-04-01 00:00:00.000 UTC,dedust,44,44
2023-05-01 00:00:00.000 UTC,dedust,68,24
2023-06-01 00:00:00.000 UTC,dedust,85,17
2023-07-01 00:00:00.000 UTC,dedust,101,16
2023-08-01 00:00:00.000 UTC,dedust,122,21
2023-09-01 00:00:00.000 UTC,dedust,155,33
2023-10-01 00:00:00.000 UTC,dedust,184,29
2023-11-01 00:00:00.000 UTC,dedust,222,38
2023-12-01 00:00:00.000 UTC,dedust,353,131
2024-01-01 00:00:00.000 UTC,dedust,1525,1172
2024-02-01 00:00:00.000 UTC,dedust,2381,856
2024-03-01 00:00:00.000 UTC,dedust,3708,1327
2024-04-01 00:00:00.000 UTC,dedust,8935,5227
2024-05-01 00:00:00.000 UTC,dedust,14901,5966
2024-06-01 00:00:00.000 UTC,dedust,20189,5288
2024-07-01 00:00:00.000 UTC,dedust,27783,7594
2024-08-01 00:00:00.000 UTC,dedust,29386,1603
2024-09-01 00:00:00.000 UTC,dedust,30107,721
2024-10-01 00:00:00.000 UTC,dedust,30891,784
2024-11-01 00:00:00.000 UTC,dedust,31643,752
2024-12-01 00:00:00.000 UTC,dedust,31977,334
2025-01-01 00:00:00.000 UTC,dedust,32945,968
2025-02-01 00:00:00.000 UTC,dedust,33479,534
2025-03-01 00:00:00.000 UTC,dedust,33766,287
2025-04-01 00:00:00.000 UTC,dedust,33833,67
2022-11-01 00:00:00.000 UTC,ston.fi,3,3
2022-12-01 00:00:00.000 UTC,ston.fi,8,5
2023-01-01 00:00:00.000 UTC,ston.fi,10,2
2023-02-01 00:00:00.000 UTC,ston.fi,11,1
2023-04-01 00:00:00.000 UTC,ston.fi,15,4
2023-05-01 00:00:00.000 UTC,ston.fi,16,1
2023-06-01 00:00:00.000 UTC,ston.fi,20,4
2023-07-01 00:00:00.000 UTC,ston.fi,46,26
2023-08-01 00:00:00.000 UTC,ston.fi,59,13
2023-09-01 00:00:00.000 UTC,ston.fi,82,23
2023-10-01 00:00:00.000 UTC,ston.fi,96,14
2023-11-01 00:00:00.000 UTC,ston.fi,113,17
2023-12-01 00:00:00.000 UTC,ston.fi,151,38
2024-01-01 00:00:00.000 UTC,ston.fi,1422,1271
2024-02-01 00:00:00.000 UTC,ston.fi,1588,166
2024-03-01 00:00:00.000 UTC,ston.fi,3957,2369
2024-04-01 00:00:00.000 UTC,ston.fi,6785,2828
2024-05-01 00:00:00.000 UTC,ston.fi,9301,2516
2024-06-01 00:00:00.000 UTC,ston.fi,11570,2269
2024-07-01 00:00:00.000 UTC,ston.fi,12897,1327
2024-08-01 00:00:00.000 UTC,ston.fi,13877,980
2024-09-01 00:00:00.000 UTC,ston.fi,14524,647
2024-10-01 00:00:00.000 UTC,ston.fi,14912,388
2024-11-01 00:00:00.000 UTC,ston.fi,15763,851
2024-12-01 00:00:00.000 UTC,ston.fi,16464,701
2025-01-01 00:00:00.000 UTC,ston.fi,17863,1399
2025-02-01 00:00:00.000 UTC,ston.fi,19558,1695
2025-03-01 00:00:00.000 UTC,ston.fi,20527,969
2025-04-01 00:00:00.000 UTC,ston.fi,20614,87
2023-02-01 00:00:00.000 UTC,megaton,21,21
2023-03-01 00:00:00.000 UTC,megaton,25,4
2023-04-01 00:00:00.000 UTC,megaton,27,2
2023-05-01 00:00:00.000 UTC,megaton,30,3
2023-06-01 00:00:00.000 UTC,megaton,35,5
2023-07-01 00:00:00.000 UTC,megaton,36,1
2023-09-01 00:00:00.000 UTC,megaton,37,1
2023-10-01 00:00:00.000 UTC,megaton,38,1
