delta,cnt
109,18
285,1
79,38
86,26
75,35
134,22
82,24
340,2
210,4
206,8
40,333
52,67
161,23
93,26
104,17
158,11
231,6
197,7
232,3
87,18
78,25
26,618
339,3
356,1
228,2
120,11
229,7
16,1029
173,23
214,8
247,4
258,5
303,3
342,2
276,2
33,394
67,44
126,17
111,28
193,13
302,1
115,18
119,19
48,102
74,21
244,4
251,3
277,3
341,2
176,15
182,11
347,1
94,27
81,25
257,8
98,29
165,19
8,2043
198,6
280,7
202,7
273,2
343,1
11,1617
123,14
138,28
265,2
314,1
37,415
157,19
7,2451
19,797
14,1307
116,17
187,12
168,13
22,779
4,3890
127,22
191,10
150,17
154,12
49,65
199,7
363,4
56,63
337,3
334,3
209,4
97,21
235,6
205,5
269,4
333,2
63,34
59,54
64,50
262,9
329,2
292,3
149,17
239,7
300,2
310,1
194,10
266,2
46,136
290,1
113,9
230,8
330,2
170,21
103,18
136,22
287,4
222,1
39,385
185,10
65,41
62,47
100,10
249,6
204,4
215,2
9,1885
28,542
133,15
364,5
365,24
155,18
361,1
293,2
58,36
259,6
181,10
316,1
286,3
106,24
148,14
36,387
167,14
35,431
80,29
245,5
32,470
129,11
99,22
84,27
241,3
110,17
178,13
312,2
313,2
174,12
200,8
107,20
13,1415
76,20
256,3
238,8
260,3
10,1675
180,9
291,3
121,9
317,4
234,5
248,5
30,503
68,34
321,2
177,15
142,19
218,6
274,2
203,5
190,13
331,2
175,10
315,2
42,289
261,7
327,1
147,18
353,3
118,16
145,15
216,2
23,735
6,2842
51,64
242,7
338,2
132,19
38,479
283,5
332,1
254,3
328,3
237,11
151,12
354,5
305,2
77,27
135,16
357,3
246,1
71,25
271,5
92,35
122,11
20,867
34,369
171,14
91,17
360,2
162,13
219,3
289,3
18,904
55,60
143,16
169,16
270,4
307,4
281,2
29,502
12,1444
96,24
85,27
335,2
186,6
311,3
236,10
152,16
27,554
324,6
275,5
66,36
57,65
72,24
188,11
3,4978
223,9
359,2
272,2
320,3
201,5
130,28
31,453
322,3
240,7
156,10
117,18
139,14
348,2
44,235
61,47
227,8
5,3265
326,2
1,11880
102,16
53,50
253,5
124,9
184,17
160,15
141,8
25,664
221,3
89,21
137,10
255,10
83,30
70,34
264,10
268,4
128,8
346,3
208,8
288,3
279,2
294,2
195,6
225,4
212,2
164,23
146,12
131,11
344,2
217,2
17,970
220,5
233,6
278,4
108,16
224,7
90,21
284,3
319,1
54,72
336,2
50,63
114,12
282,2
250,9
355,4
308,2
196,7
351,2
295,4
112,17
15,1192
125,15
163,14
2,7108
24,710
213,5
95,25
73,32
153,16
226,6
192,5
323,2
179,14
211,9
172,11
88,22
105,21
60,60
207,5
267,4
304,2
159,19
45,216
21,799
43,254
263,7
345,4
166,10
69,32
252,7
189,10
306,2
0,172833
144,19
362,2
140,11
243,2
47,124
183,12
41,329
101,20
358,5
