date,addresses,text
2025-05-07 00:51:06,EQA_KwwBPdFl68NiFttwfdLKVqYHWfUguvkhVJHCCwnvWQL5,
2025-05-06 05:37:48,EQBGL_mPqaGQNRjr5lYtrwY7g-sIA72e1qw3ZW9Q9GbGtjr3,
2025-05-04 21:43:46,EQDnDGcvOTNST8oyXPURGGru2jkXEctsFVXp_nA5oaNH-FZt,
2025-05-01 13:27:49,EQDzcpYY0c5iyNLha15iGHRvSvlC3Y4C9g5BILouzVaM7OPL,
2025-05-01 11:53:22,EQBJBF7FKCRE6ClTG3NNUlWejM4Gaewa__vgFaBjJHoIDeuu,
2025-04-28 21:06:13,EQAJKTfw3qP0OFUba-1l7rtA7_TzXd9Cbm4DjNCaioCdofF_,
2025-04-28 15:26:21,EQDBgXL_g1WfDwuB0iMy_fFI500sRuH5dbHXUtShmE-xyeLX,
2025-04-27 22:45:43,EQD-euk9iGoGgdFWGzPBis6z2XsaKXN5uR7UoVhueVzoiIOr,
2025-04-26 23:41:48,EQCi7PjrhAUo37hWwiFn3VN3pgY6fgL6EajeJP1t19ghnEQo,
2025-04-26 08:28:04,EQBZ1yu-rK7-2Oae_gcQKb2wqw4HFBgrbp35NZjQM8UsLpgM,
2025-04-24 17:14:42,EQDTRRdGtePFSU5mxofNyrXIWC9xJxTU6XXEFMJervd0xDWb,
2025-04-19 04:27:41,EQDxE8C4-R53ol4InsjyVedmfI9xMF6lpJko2p90PAR0U5NT,
2025-04-18 17:34:39,EQDODJ_ZFDIGNnjKw-MUmhzzdZzFt9aD34XrdLty1BBKsXLG,
2025-04-17 19:38:11,EQCbBnk2ftUY9vq5tKihdi8HIMQuFHauoPOcSsE5QSJKokkG,
2025-04-16 21:54:00,EQDPRN_wks9f4qPzSycEgJgp9EPKH_N1Y1BuzLD6fF-EtAjb,
2025-04-14 08:53:52,EQCnzC4DxF0ZyFYdRDfJOx_dES1No1n4kuaNsosBY93FrFH,
2025-04-13 23:02:12,EQAR_TVBMHrwkU2e5be_HBfotDbaYtIFMxXHb7JR5iAXtu1d,
2025-04-13 21:47:55,EQCdb8hvMDDZcqpPGH-cCj3iMuom9P57mMyrdoHNNyXHM9Fs,
2025-04-13 05:56:41,EQAb64zkvhg6biFzqkuGEXw_cI2z4Y1MmlJE0263pCuj5nU_,
2025-04-12 12:54:34,EQBNZljvUI3OqUayhwHkkzhKtOQj2L0jTjLKX2iJpuf3GItR,
2025-04-10 19:01:54,EQCoWcrLuKRv6RiPGT6Ml1RVoFvSzBcgL4FoQVah5LflF9SQ,
2025-04-09 16:07:50,EQBFq7ccF0eSWly0yFJwlq4hguBaGVVD4lsHEbCCHashcaSH,
2025-04-08 16:36:46,EQDXvEMAYl_bfHdAHSc5lqkks10_g9NBM7MRvlkUtGOtwPqP,
2025-04-08 11:34:18,EQBCmZssB-c14mVDV-sqhJX0oyHR1-aHcVIOpj541AsQM2uj,
2025-04-07 12:37:25,EQAJ5Oiin3hf05ww9LNo4btMLXrWs9JsC-gRrO8igD1q1SZP,
2025-04-06 21:34:31,EQDqStCkgMIaT0OCV5eGhiQS9JPd1TQiaMFTgnKABUwRsykw,
2025-04-06 15:45:50,EQA7qC90SafoE4AlbRfFR-2AhhEOHMrAmaQY89_mUu6mI5LW,
2025-04-05 22:54:21,EQCf362UKfY18v8hIQArXXp_PcXDcpwuIerq9yKGFM4e1agw,
2025-04-04 03:52:11,EQAuthVkwxc5oxHu_nCOktztYyUCoCC-1NUjrI33B5NjlTAd,
2025-04-03 17:17:49,EQBQUWqW9fpVBVjWBSdT31E-A0qACKrapgGsK2tSnt6v8DDn,
2025-04-03 12:32:30,EQA2oalPC_lijbUaUqSHAFfnqGF1D6QhcGGHXpp6BEypJKSx,
2025-04-03 10:10:42,EQDcaDLYEBs4jxP6g1ijaYCY1hV4jRkPbT8jj8H0jtPK7k7J,
2025-04-02 22:46:31,EQCyWXjgTtVvCMmtcMasvUYTRiBsWxlIKAFT0QJYWjWW2c1W,
2025-04-02 14:35:16,EQBwJZQNjolO2yswud7ZVGXvcmxyiXa68o2QMA15HEktChJ5,
2025-04-01 19:44:46,EQCT8AUjP_GI_3krwUVDVtNRjpGtxJXUovedA2BE_KhxYwwV,
2025-03-31 17:04:01,EQB0muNAB1w4gXKTy06aM1WNizcyKf_pyK0KdpwI57kDXWX3,
2025-03-29 23:40:49,EQBIrGvlHzyVEwSavoX4IcZQlM7tu_45ypktKEuRw_hIlK60,
2025-03-29 11:40:15,EQCgH_F0Mf_CENOMPFAsBsqF_Baj8ZkbpSQ5N6lRgfRdlKIj,
2025-03-29 11:02:39,EQCSFf7VcRHebHubFOyO9guWonUVZBvRNHmdTr2h7j4c0H4G,
2025-03-28 05:33:00,EQC6GujEFcsISHX7YTQb_COxerP1pyNe88fe1pJRdekvd9v0,
2025-03-28 01:49:46,EQDN9OtAhMQcluAlrj1_2ACQy3jv_cBFxEQmY2fPUzbyd-wT,
2025-03-27 19:41:42,EQCPLqUe3kVyEzWSNmG4rJbc14jAbHSPTxJkVSG8Vuy8RMCa,
2025-03-27 16:11:12,EQBz8dwlZ-EzOwhALTDpRWqlsVBSVh_FyyonpFzDG73ewOy9,
2025-03-27 12:23:30,EQBIYvi_B3NukCT0KDc1jC0SkNRb9g99DAtK-2ZC6dhIHeRT,
2025-03-25 22:27:31,EQAesdqwmBcSUhfMEbNs5J3yxJCGEZD-82lu88Q2TL9kUpyW,
2025-03-25 07:15:30,EQCFcUEr2tefVY7FU-ppk9yt3JX6C6p_PmTYiYWMpv5XE7j5,
2025-03-25 06:24:13,EQCKFU17H0kUU8myO8g5lA7sIuonyM3H1pC692TdzB6bAv-b,
2025-03-24 20:00:39,EQBbxiMj7fG2WyjeMv4hw8CiMJyTXChVnJf1dnCAve4y8EDO,
2025-03-24 12:59:36,EQCuTahLfZSKRGP4GF02yPMnFAq-bT1XJU4Z8V1DH_5sWlmw,
2025-03-24 12:19:41,EQCuPm01HldiduQ55xaBF_1kaW_WAUy5DHey8suqzU_MAJOR,
2025-03-24 11:13:30,EQD42IFsoYdzDXghPzG183gAuR3lgl6fmFuNpOFIxAuqhitn,
2025-03-22 13:55:29,EQAD3aGkb59oIwpSf56EcHI0Cg5IgPaJ0Ygnts8lkmoRaSBI,
2025-03-21 14:20:05,EQAB37q7KUjpqnmAoh7nOQRIyW_FNZF8SEssoHV76z7HzvF2,
2025-03-19 21:14:26,EQBVREHTYdoRs4dIAyt28NapntBmFNOgdluolraV8N0hPUyJ,
2025-03-19 17:45:47,EQCgfNCcQQu8EEB7Lyt9XRt7K4aZuoOd_6jtB6yLOYZD9gaC,
2025-03-19 11:11:52,EQBK10gLw4TKLAmThuKN1Rjhc_D-YLIMV5THnVNSvli_8gjd,
2025-03-19 09:13:42,EQBB0FjVjzB9FFCyjL7dkBooz4K_Bzjn4NHQsKcGEmIyfxL6,
2025-03-18 20:23:11,EQDtFkWyLroT6oWhc9xBiS7zCGWr7GtjPAM5JMpNE_Ejpqyi,
2025-03-18 19:16:24,EQD39cLm8SNMFBZGE4y3j2KFUAPUqFyrZ_L5T-mJBy9bc4nB,
2025-03-17 21:09:14,EQDuLs0bHbjjTL_1ZRzVo25AispBTHsPFaauZHJV4JOE1GnR,
2025-03-17 19:20:54,EQDujGQBoDXWNOu45Z4bf_LTWN15DGLtUQ7Xix4GWJBlOnbx,
2025-03-14 23:08:39,EQBVd16edNq_0ZeiYwCoLmQZPoCKz-ZMuq3diqRREBiAWp-t,
2025-03-14 10:11:06,EQAunJ_g3aswhm4WKrVxLT3zUHoZtg1koB58w5zMQTFVMi64,
2025-03-13 14:53:24,EQD8fYSpilC4oyGgB-R78nbXiUB_KmMu1BiRACQIbKJ2uWC8,
2025-03-12 22:49:52,EQDa9w2ooIRCR8b1J_Lqia_X4f7mHem3rbHQhcBcCwj59Xvc,
2025-03-12 13:16:13,EQDME5yQlyIL1aGTkEGQjXZ6Cq9dz-MYeE4hCDF0uQ0qJ7Fx,
2025-03-11 13:11:28,EQCReLFOAUxlzrEv5Qky-PNmaO7PITNaTO90e3dXp06Urgad,
2025-03-10 15:57:30,EQB8tXmN7G928YmxBLPOgfb7zvmFVyzNd6EQT4geULYztJDh,
2025-03-09 18:32:15,EQC2BY3fXo2Kn0Yc1MYW9pe8PDx4pT3X87lQJuJmXgnp6R1G,
2025-03-09 00:06:29,EQDPMNvXl3si1TXGXMwnUhwQjE0mMcxHKtYXFSubaicYkeaQ,
2025-03-07 20:45:00,EQDSbZzsWJPNuiK6KJvPdGf5abc-JhJRtkuPv_jZGwApD_c5,
2025-03-07 20:21:00,EQA5VINRxxRM2GIqqR_Jl3L3yr2WAExBtPWM50EXlQlh0SCv,
2025-03-06 18:44:02,EQD_Y42Xwzkgo2rjPEA2DZ_UDwkNSFVaCVgDOs-LuqaA-0h0,
2025-03-06 15:04:08,EQDz4YOi2Mnzdqca0ZCprrcIm5K16UvM_OPiB4HWJ5KMVie3,
2025-03-06 11:55:05,EQAyWK360wTez2bCrhjEHFKRMNLTON3o8mwWFaZjhhQfObqY,
2025-03-05 15:19:00,EQD44IfTh40mtWRL7EgfGsmvNVgdQ4XV7lAkWMcucal_KJDF,
2025-03-03 23:10:05,EQCorAQ2NT8oE0RaAVqNJjuQmBzrSNTN6fhPP9vXhudWyiAk,
2025-03-03 20:47:06,EQBh7FJRDcsIR7kyHm2b3VRCfe2jooNMtEhx4AKM95IwJlJO,
2025-03-03 18:44:34,EQCRmykxEJ2iFSDpERwqt2SJOY7_KgSLd5IjarRjBGhA6773,
2025-03-03 11:28:29,EQCm0KC0ahQQmrM54-vEOWwQdIwObDxtUEHl1jFs-gcLJwnU,
2025-03-03 00:16:08,EQAAJe9vFA45SzPFu48LCbDUp8zbYUW7T_dbcL_j9b68Lcp7,
2025-03-02 17:56:07,EQAl-wAQ5RzBMvWyI9cU1pDA51kE9C5KD842DVXZHvF9ygFz,
2025-03-02 15:25:41,EQBshE2wHGXpRW67HY-Zida1aXRtBCcsivN-u47gspAj4Cd,
2025-03-02 12:03:04,EQAEF0uVQEx32avuUsB2Et6xX-TRfpKgyKp8TJI4VMN6yoEZ,
2025-03-02 02:20:58,EQAKkE50UHeHfyG2GD2eRqFvkEDPFRvTLiBkwZmWkH9D5QmR,
2025-03-01 21:37:29,EQAuEwsIoque8V2zVrdmi_SFWsZpBxULNZt440ra_jEBlbJR,
2025-03-01 13:32:39,EQDol2oVpmBznAL6vQpF51QW3p0PKV7ag4VEtex8_MeMHASH,
2025-03-01 10:57:47,EQBewUbt5WPCeYEo4X0z-mfeevbxMh_qA66aqeMYc6bjXQdB,
2025-03-01 01:48:24,EQAA0FIJZs35m-7p-Gzj717YijVcl9nJVGAKZpMpKWeMUQob,
2025-02-28 22:14:29,EQBG-qW7oE11g4cuViMsyweeqELS7nS9czKgwwBtBrnp-MIh,
2025-02-28 21:44:27,EQCOq8E0zEZiOWzDD8emZFflcZN3gSEqior4BKNz5w3Mw4a8,
2025-02-28 11:30:35,EQCg1tPfoCmmQn2_251Idb7yE1B9w6l9xvNU13yV1EoikbCW,
2025-02-27 17:43:38,EQDE9Ppx4RepuTA7a82GtuRdca8C531iztbZ2mkufuD_PTsP,
2025-02-27 15:20:28,EQDetde06nWs8z26MgDgC_fiXMkI13xX7Ytckov6KbA3CKos,
2025-02-27 09:20:20,EQCwlH2RhhZ3uRm0HoqYt50xl5UjKGLqoh5SsJpGjlO7Ta4X,
2025-02-26 09:11:44,EQD8KcmHnN7be3-PVyy3DldR8F1Gy4t0WjEARDRXijIoSrrX,
2025-02-25 21:56:40,EQAYpxYkdsiJoOxnBqhrx5XkEyUNbRk0oHDnMIaKHiWTcRRv,
2025-02-25 17:17:03,EQBGDsfi8OfjXSQDj1G6-_OruAOsX1NkAhrFJ8zke0CjVMOe,
2025-02-25 15:32:07,EQBwpe8_0uePbi_Lm3461dtb6kWWFYpwS0RSGMhGDV9mPFkK,
2025-02-24 13:16:05,EQDknEHd_AZ9WzVzA6l3x--rFB5jMdwAp3uueyJ7A2O8UXSK,
2025-02-23 22:38:43,EQAoutAj3gkNKjEWNbt_-azFEHFzInFeror7fUknoOgBSntG,
2025-02-23 21:45:43,EQDibXRhoT7gGcWUaX8APBByvnviwSSWUKw8TbVjrxDfyN-n,
2025-02-23 16:29:52,EQBspBCKLEg_c1ZEff-O5rNHEm-TxhT7JdmCrqT3wnJ-DT5B,
2025-02-22 15:20:54,EQDhCI47p69j-d7bPdXvuhfU-pq784yVxaCX-UKKdoGKDEl1,
2025-02-22 14:33:21,EQCa3xXZy7QnfuQEV2ACeJAr7it5qzzoMuy760qk9KMzMxPc,
2025-02-22 14:17:08,EQCKTbEsXpUSmQGwZIIEq3Vu26sp16j2gkKlS1OfJMBS1FYY,
2025-02-22 00:51:47,EQDEi9iaYQ6aQc7v0u7uVm7mwJokhWKopZ2dwJMJAS5qAH73,
2025-02-21 22:47:20,EQDsjxmRt6uL0wc5PzEQDy-Q5wFOqV5ZP86l3Cy1mLjiqyJE,
2025-02-21 20:16:11,EQChPw9rw94Ab2XYuJw4J7uWoqcEnrQxsmDZepB9TPaKiQq5,
2025-02-21 19:43:50,EQAheDjOPpr0GoJWqy7tKPRZMX0t5qIOYCxHGiN4yj6jNONb,
2025-02-21 15:34:27,EQD178_kIdWYteP_0PdHhFFFQXBFXxg4pNbOjA6cXToUGFWZ,
2025-02-21 11:50:55,EQDNda_XHyRGE__pPRae0QiIWmAvVjf5mCPn0fQWHktIbiyl,
2025-02-20 20:09:42,EQBM_HFBL20pCWgOrVNdmYSfHQcRtatP-WvK4VhzQE6RdmeA,
2025-02-20 19:23:38,EQB_HcAdp5DA8kE5qTaNRoeMNdYy6siQNysi554kflldwOvh,
2025-02-20 17:40:38,EQDrsy8gb6m8FlzJUhza9JDB1GB75nbOwZNMTIWVaUsdhmEq,
2025-02-20 17:28:30,EQCjZU6uwve72cqCCfQzy-U-CCf3On1kyNTBdkoAlCl0Nc5v,
2025-02-20 17:06:44,EQARQe7bMOzVuas7Md1egQEb88I7ydTtkmGAHL0pPmzy7tUK,
2025-02-20 16:33:50,EQAVSmZuidE5HuTKlSAmwP-8g252D7bNecuINO5RyRz6tQqE,
2025-02-20 08:52:05,EQBeDAg2__lG1L2OpkOAZhzrFxu0uQIQaxbH-lQa0W88PN6W,
2025-02-20 07:29:09,EQCQYvhkjJnEow_G0ozJMX1Hbl5RkNIBHKWhyCvcpCYOzZXg,
2025-02-19 21:54:55,EQDVwFbCMuBVPre0sGIBNLRK6hwFxwOdt93qXcftT2y0Vzf6,
2025-02-19 20:47:38,EQCLx0iYB4iXvhhhg5mjqgeyavgBiJBInVY9I0_Ig6EJx2wq,
